hg38.kgXref.geneSymbol,21423L,21424B,21424L,21562L,22288B,22316B
CANX,0.969014259457499,3.22814205309744,2.7018251963295,2.80545425079263,8.22002706334556,6.59014134226319
CAP1,6.35047372794197,6.41588827607536,6.68123297761957,5.80691300294235,6.68504829665572,6.7077017353978
CAP2,2.9698896487798,4.88129347559318,2.63565048735095,2.69335534273188,6.2232654252363,6.44519615080373
CAPG,5.06575139320829,2.62142589204167,4.59197956405319,4.89562169719088,1.33672291886676,4.24467974758925
CAPN1,6.16570543246204,6.12143985464859,7.039705878597,6.41283048348556,6.48660680535066,6.24650520267922
CAPN10,2.51138740754405,4.98923380557502,2.81813782278859,3.52754773499619,4.80767440068588,4.83336915359947
CAPN11,-6.07401964352285,-6.07401964352285,-6.07401964352285,-6.07401964352285,-5.57568309983364,-6.07401964352285
CAPN12,2.66583474505023,-1.26395792382637,2.11819277115286,5.12511209717852,-0.86862411786516,-3.3127637198829
CAPN13,-1.13805845831704,-6.07401964352285,-1.46139634507898,-0.258775037423542,-2.99908441884227,-6.07401964352285
CAPN14,-6.07401964352285,-0.45262936424681,-5.24039808252644,-4.8108773925759,-0.0165530105954022,0.144292361727453
CAPN15,5.15373336462893,4.03124863633187,5.59500623884153,4.75672525446086,4.19733285565945,3.63242531889669
CAPN2,4.81572231975768,5.16771948551062,4.76865509301491,4.63985104566394,5.95861673990618,5.21398451960215
CAPN3,0.114047459999315,-2.73265742388867,1.15103353489858,1.39132344110659,-4.91196970724718,-2.0019343290802
CAPN5,3.64017102005331,4.33919771920528,3.60943243802418,3.72382585485414,5.0312107717068,4.92078749303375
CAPN6,2.66289944740768,-5.63959697292116,-5.2403983991121,0.764106854854729,0.0785544295312509,-2.25919861222679
CAPN7,4.81635571309356,4.63808864825739,4.28841963893857,3.86302359317173,5.04381629179306,4.96661966967262
CAPN8,-0.317733080723763,-6.07401964352285,-6.07401964352285,-5.3084087703608,-6.07401964352285,-5.68307321968798
CAPN9,-6.07401964352285,-6.07401964352285,-5.2403983991121,-6.07401964352285,-0.604091090931877,-6.07401964352285
CAPNS1,7.1674919090062,6.69041771432742,7.32808976734036,6.79677339647556,6.51615679048261,6.50920882755814
CAPRIN1,6.66624533413449,8.1205109098031,7.33888784682177,6.71100324519046,8.78963874290242,8.43516973474737
CAPRIN2,4.39066387755594,3.58183866982868,5.12300862637889,5.58317964685401,4.18749681457147,4.34241665605933
CAPS,3.64271802910984,2.29287287493635,2.00747144706375,2.57592678885349,2.36409733072179,4.14252398220374
CAPS2,2.54708778357861,2.6470861577671,1.24876846146704,3.11828742745622,2.715054665497,1.72741697955342
CAPSL,0.00544240577281175,-6.07401964352285,-4.71545115102189,-3.90395155059584,-6.07401964352285,1.05660577670474
CAPZA1,6.66571698686965,5.89136309819238,7.12600330876266,6.90447525806916,5.77808901687984,5.74088982980793
CAPZA2,5.6565781101713,6.72027481785693,6.80803377231933,6.15344832342485,6.75407752968043,7.12368395711029
CAPZA3,-6.07401964352285,-6.07401964352285,-5.2403983991121,-0.695327591637932,-6.07401964352285,-5.68307321968798
CAPZB,7.12137965431582,7.1333189963488,7.12311885744937,6.63821916464167,6.8715659633162,7.11838293214906
CARD10,3.88156835556152,2.42104815821592,3.80065731544228,4.33894370718139,3.95902483483123,2.8716961083287
CARD11,-1.02621122786099,-6.07401964352285,1.57869210728381,-5.3084087703608,-4.91196970724718,-2.25919861222679
CARD14,-3.21687291083665,1.7810222592796,2.11027617396745,-0.149668388930875,0.49050376405386,-0.0780862716264393
CARD16,1.76657904679722,-5.63959697292116,1.64445668930828,2.11697592729847,-6.07401964352285,-5.68307321968798
CARD18,-6.07401964352285,-0.458339288596181,-5.22915289542071,-4.43568961700635,-5.57564096258154,-5.68123541409864
CARD19,1.93511139451414,1.57904751668583,2.63242782695379,1.32704595559904,0.717110022820069,2.97363919650381
CARD6,0.917808634952793,-4.43792466183013,1.44890712448206,2.1267832195511,-5.5743689970366,-1.4768684926517
CARD8,4.66368583782284,4.69694781831614,4.95325942829793,5.39385075557259,4.46324823797088,4.1862649855394
CARD9,2.14810196177305,0.539317157538153,2.0052994478781,2.98982394025406,0.8172000067738,2.50719717405801
CARF,2.18289220233384,3.29098958068444,2.27303945323147,2.29363616600488,3.82618039672074,3.67170476849255
CARHSP1,6.63278447354498,6.95669583889163,6.89606361357424,6.9200487248538,7.30034483331656,7.42972166349362
CARM1,5.41222505771151,5.90804816400025,5.03587819739588,4.73673725310268,5.87820976716935,5.69231817029291
CARM1P1,-6.07401964352285,-5.30108566687264,-5.23891753832822,-5.2981791501464,-6.07401964352285,-6.07401964352285
CARMIL1,2.69665816505751,4.0038725111085,1.82199526435737,1.43275576164517,3.34674584538759,3.43830877596423
CARMIL2,-2.3365741458385,2.77002330984524,-1.02664374661893,-1.81081157143286,3.66792994915912,3.691916971789
CARMIL3,-2.90096456204904,4.04450898456842,-0.896225900229034,0.732878805998694,3.27574628317213,3.90890242812878
CARNMT1,4.52576039250938,3.1394288014697,4.36488584974098,3.44007610426695,3.20947737501584,3.45443778124985
CARNS1,2.13480991583509,-6.07401964352285,0.974759964794973,-6.07401964352285,-4.27679772339949,-5.37579405416462
CARS,4.09575012840238,4.28593629254852,3.3916041667775,-0.186822479717822,4.04508653340934,5.09507820009159
CARS2,5.2172898632798,4.54841296811194,5.70538945637046,5.11794402982538,4.56319871989585,4.65932850828099
CARTPT,-4.91453475895966,0.393441065744145,-5.2403983991121,-4.44162618929206,-1.25483500522671,1.58468915246473
CASC1,1.37688468862933,-6.07401964352285,0.445298229408066,-2.46489334290636,0.352115605195707,0.967380990390538
CASC10,5.32565182732144,3.37589006658039,4.7231721279468,4.75798300442417,2.20999855851592,2.80478728443347
CASC3,5.5527828329498,6.705359710315,5.95812059728344,6.12919231333926,6.8777067855197,6.75501159293512
CASC4,5.84886540568186,6.37184755858568,5.58016010096405,5.60327600140324,6.41266556935298,6.26660367821553
CASC4P1,-6.07401964352285,-0.654041840982561,-1.41599416743274,-4.8108773925759,-6.07401964352285,-5.68300130619239
CASD1,4.44071928626475,5.9064944058765,3.55916305273796,4.25663620484823,6.12135503074143,5.67366700510973
CASK,4.91068411753934,6.21390275613088,4.06850436724867,2.88471756403085,7.04325992545382,6.34748125046589
CASKIN1,-1.81064740482928,4.17591415721593,0.65995779874041,1.09038504657414,4.534837807742,4.29423494500479
CASKIN2,3.24968181727832,4.06765703083079,2.51190056880127,2.8910962587794,4.14985382468169,3.82546913552283
